Samra (SEPGCO),Amman East (IPP1),Qatrana (IPP2),Zarqa (ACWA),IPP4 (Levant),IPP3 (Amman Asia),Rehab,Risha,Aqaba steam
1088.9625196434345,367.68209303611184,368.7321410320817,0.0,0.0,0.0,65.0,35.0,55.0
1066.5488015894662,360.22013472746147,361.35215120485213,0.0,0.0,0.0,65.0,35.0,55.0
1055.292578170477,356.47272121654345,357.6459024635616,0.0,0.0,0.0,65.0,35.0,55.0
1080.7594384978192,364.9511293752114,366.03117659321384,0.0,0.0,0.0,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,91.18594560272543,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,167.10392508758838,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,275.1019210543191,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,291.802005703593,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,95.16887458984108
1150.0,380.0,373.0,0.0,250.0,0.0,217.44150671712495,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,0.0,297.0,35.0,170.81867353307877
1150.0,380.0,373.0,0.0,250.0,0.0,297.0,35.0,151.1955314034179
1150.0,380.0,373.0,0.0,250.0,0.0,287.3144403157922,35.0,55.0
1150.0,380.0,373.0,0.0,219.97294679501806,0.0,65.0,35.0,55.0
1009.1907820515813,341.1245456142278,342.46632424475627,0.0,147.9630837070651,0.0,65.0,35.0,55.0
886.3123679852376,300.21595558965623,302.0071088833334,0.0,124.09973952606502,0.0,65.0,35.0,55.0
871.4916954616318,295.2818683395614,297.1272218340918,0.0,121.22152196350969,0.0,65.0,35.0,55.0
812.5971141338368,275.6747282204942,277.7354631784538,0.0,112.5,0.0,65.0,35.0,55.0
831.370722489373,281.92482392146775,283.9169025251363,0.0,0.0,0.0,65.0,35.0,55.0
811.7686264088297,275.39890870459124,277.4626734981422,0.0,0.0,0.0,65.0,35.0,55.0
812.7760892156351,275.7343124713289,277.794392905321,0.0,0.0,0.0,65.0,35.0,55.0
870.676107506688,295.01034340549313,296.85867956028414,0.0,0.0,0.0,65.0,35.0,55.0
1008.2446334812294,340.8095545373901,342.1547932971717,0.0,0.0,0.0,65.0,35.0,55.0
1112.4157410766577,375.4901220349986,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,99.16966106122682,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,82.2464707688821,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,71.98560884791961,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,114.13383337858723,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,201.62341147049676,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,92.84314252631937
1150.0,380.0,373.0,0.0,250.0,0.0,207.7161340147563,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,0.0,251.98419557175896,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,0.0,297.0,35.0,90.99118613961464
1150.0,380.0,373.0,0.0,250.0,431.04133413341106,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,573.0,140.84387012159033,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,573.0,120.64501593814366,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,521.3667732698391,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,264.619454323061,65.0,35.0,55.0
1083.8367226974203,365.9756165373146,367.04440991906665,0.0,162.4595417455324,143.25,65.0,35.0,55.0
1034.9647786118726,349.7052053386478,350.9527267222034,0.0,152.96846854631008,0.0,65.0,35.0,55.0
940.5379667512452,318.26870151424015,319.86154812920023,0.0,134.6305079820723,0.0,65.0,35.0,55.0
879.0813737957303,297.8086183936463,299.6262159216736,0.0,122.69545949505924,0.0,65.0,35.0,55.0
831.8179985348202,282.0737307291446,284.06417361409245,0.0,113.51677502409989,0.0,65.0,35.0,55.0
814.5650367395076,276.3298875475995,278.3834256796174,0.0,112.5,0.0,65.0,35.0,55.0
890.7505595490826,301.69351501712265,303.4684375443617,0.0,0.0,0.0,65.0,35.0,55.0
912.4144745616481,308.90584945608856,310.6015455822935,0.0,0.0,0.0,65.0,35.0,55.0
1007.5338925512403,340.572935196723,341.9207731841104,0.0,0.0,0.0,65.0,35.0,55.0
1101.9244865418227,371.9973813948299,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1121.0973315506824,378.38039066486016,373.0,0.0,0.0,0.0,65.0,35.0,55.0
